# format=1
# captured_at=2026-08-11T15:28:27Z
# authoritative_max_epoch=1786353992
# conservative_drop_not_before_epoch=1788948000
plane	schema	table	rows	bytes	sha256
engine	public	account_funding_head_v2	427	122880	0eb5740286499cd8361e16cffaefe56e6045626ff30074752230588a1d182c32
engine	public	account_policy_bindings	431	188416	a1b17c0a0c22a553c0d33c1151ff367916510fc44f7fe766371d1708f9c7fa46
engine	public	funding_ledger_allocations_v2	49414	22421504	904b02a5837e55c88d019d00b63bea4fd4d9927ef2aac86ea3cca8c00d918e38
engine	public	funding_reservation_allocations_v2	21888	11886592	3e1cda238d8a7afa9fcb68dc088f755f56fee689d9e6abc92800dfd389da6ff8
engine	public	ledger_funding_allocations	911	360448	9ac98684487baaac2d5b5191e1b70c974500b0ed8d583f40958a737790d418ff
engine	public	pricing_catalog_heads	2	32768	188c7a2b61685f5a254274e7ce1cd4993cd3259b5d26bd32797e0f17e814115a
engine	public	pricing_release_assignment_extensions_v2	34	122880	ad2cf2447a3d35133496cfd59d6ad9717b0f08007de2a17bad76b6ec61f0669b
engine	public	pricing_release_assignments	20642	12787712	54f53fdac718ea2f52812cab2ad00f13489c3bf6bc4f2e50698e29d62a75e53b
engine	public	pricing_release_head_v2	1	32768	19f852251453f280db95c400c0246d9d91ac25f196ef1a481cb7296e19a5c22e
engine	public	pricing_release_recovery_links	24	49152	8c8696b4c790157888254165934f594fa77d09838a5df8aee41bc26342541e06
engine	public	pricing_request_funding_allocations_v2	32204	17145856	822de0c4a259f02261774168eb05b599289972b1bdaa0530f7f26feaaa9f1735
engine	public	pricing_shadow_admission_evaluations	2654	5095424	0b2224f5bb63e9d86ca8d84c4d99807d402e45c9962cfa036ddeb135762357a9
engine	public	provider_switch_entries	66	32768	29962da64f65bd6ad432858f49c94d32ff84d2c92f8cbfc6e6d3ca85aa2a0df2
engine	public	provider_switch_head	1	24576	3d6e446f3921dc3205ca3538449ab39a87b950538acd584e179997120d6e4dc3
engine	public	reservation_funding_allocations	912	688128	e418fa0b2e39918e0c68a1a8538fe4a1b2e7a5f1668bfcd6a06e1a472e41e656
engine	public	funding_buckets	3	106496	8288780cf721373ca7a747a504b9a6e283fd58b368b22680fb29230c9ddf8dd3
engine	public	funding_lots_v2	540	565248	518727aea125181d23dcc941aaddecc9fc5a2e680519a2370ee536e968d2a505
engine	public	funding_reservation_snapshots_v2	21736	16662528	d58b9918ea58e105b591a59a1b7256d566c4d90f4387a1feadd89b97dd436021
engine	public	pricing_admission_snapshots	8405	10788864	5d6d8bd4f582eed74bc686c1762aaccd955e063286bbe0974212d17b4b2714f6
engine	public	pricing_release_activations_v2	3	65536	e74f995febb186ac72bc4dd1dd1c416661e94d1646e8485fbe15084e22536be8
engine	public	pricing_request_snapshots_v2	31942	47079424	fceefc508737cc483975f713bbef83adf4683d147c6da6bb2bdfa7bea4b9337b
engine	public	account_funding_generations_v2	427	311296	6d3a05557a2b3d1202a842ac3764aa0b0a1b469d48bab4fe56952796fd51c41a
engine	public	account_policy_rules	3920	2883584	099329da940f06736580bef77c339a6fe6515629b193ecea4b909b6a3148b8ff
engine	public	pricing_catalog_entries	161	98304	708fec3f4688ca6ade82a05595ecffef3ddd2f569856a022d06fdb2e320fc06b
engine	public	pricing_release_policy_rules	79	155648	a7fd2092a72ca236123a2ed6afacc61a19fa5c53d81e93b01bb440dded982f66
engine	public	pricing_stage8_evidence_v2	3	32768	234efab5f0b9107a392d26eb7c2fca0bae5dbe800481bda70072bf40d04a6a05
engine	public	account_policy_versions	1733	4661248	838e080e549b2a9e1e6665f2417a3c867a04e737a71e65ee6b11055b313ecd2a
engine	public	pricing_release_policy_versions	131	180224	f7865e2269da9680664657e42c8c6a7169212be2398fded7f8c601d2c9d39632
engine	public	pricing_release_versions	48	122880	c1f39775f4a40bb6ce283af2ae63cf3d8630fc47a699015e677723f00168acfe
engine	public	pricing_catalog_versions	10	49152	8b3dadd3f19f1c02e94c31d7ddb0c06f8780a598f61e00345c860f7422f3559e
engine	public	provider_switch_versions	5	49152	b57813b8905b3cd4655a924f4f884e1b3ba52e9125c87f2a45e31501f65053d8
commerce	public	account_policy_reconciliations	280	237568	2506bfec60353501f67ee8372f73d3165a426d1af9a1513d19e34fbf9b28f4c3
commerce	public	account_policy_rules	1767	1220608	e252d61213a95580e02409daa1e094887d0d3c6e4469b6460f3bba524c852b42
commerce	public	business_invite_policy_bindings	0	16384	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
commerce	public	business_invite_policy_snapshots_v2	0	24576	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
commerce	public	engine_catalog_jobs	10	122880	859baae28ca611dc07c18e96b2b2cec4ae0938591a39d861505e99fec8a30adf
commerce	public	engine_policy_jobs	656	2531328	4749bfcea68b053a190b35eeeaa30ab1d012f9d89f6f1666b5fbf0c1e45d690f
commerce	public	engine_switch_jobs	5	106496	87dad2467a2f8fb98f5aaa5fb55f1b9c5266cfb25ee12eef65a3abe3eb66e902
commerce	public	pricing_funding_normalizations_v2	19938	9134080	b334883fe6e24686a29b6b1ad679c63ead339bba86d73fcdfce5f8cb1dc6534b
commerce	public	pricing_months	168	98304	fe86d7c9c657874ece5a14f0ebe085d117cee8a92e6585e0a47aea80e4ca0888
commerce	public	pricing_policy_heads	14	32768	d5eb8e80302cd2ab37b550275827d08768f766870eafb05bd87fd0f52e768728
commerce	public	pricing_policy_rules	132	221184	a2bae995d9b9ceaf4ca5277b32244435636709310c5c8cb162746ee881e16348
commerce	public	pricing_policy_rules_v2	85	155648	3360d7d5a68e0574539d416140e0f4167cc2efe5b3b7cde379cec8df1f4ddd49
commerce	public	pricing_release_activation_receipts_v2	3	65536	c97f5792c609cefa99f1ebada6c15181d3f81ba8a08bcd5c16ddca1148c0a356
commerce	public	pricing_release_assignments_v2	24102	21389312	aced69ecb33c6814a6485da50fd0712a989967ba048be9654b4a3cbf80dca5a2
commerce	public	pricing_release_control_jobs_v2	28	114688	17cea68adbc277a1140275aadefb513164e462e6c07a487ecba9cc06366dbb71
commerce	public	pricing_release_orchestrations_v2	7	65536	4136bfd5c883cd088e5d762c037c17971de544ccb6634d495faf869a3742332e
commerce	public	pricing_shadow_policy_jobs_v2	4555	15638528	02195436acc6627fca2799db81476c7ebd076d6648207750cccc8878692aa311
commerce	public	pricing_stage5_blockers_v2	0	24576	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
commerce	public	pricing_stage5_prepare_acks_v2	943	720896	d873e01bec5240d288fd59648f873033e3ba1ceb65bc95b40e585dc36a41ca43
commerce	public	pricing_stage8_capture_artifacts_v2	22	319488	11d1302eddfefd6e7b6bc5e2a85ec80be27950326345885ab4136bcad9898d07
commerce	public	pricing_usage_funding_allocations	909	270336	511e5ad44c8620788887eed4ac84f4599fa6cf5a6ef13071c7c7ab9ed01afa29
commerce	public	product_catalog_heads	2	32768	b9b08e0ad20a780508b397fbb529e73901c831284796edf704f1d72833ddf852
commerce	public	provider_capability_aliases	10	32768	b7bb7b6b7a5ea8e91d0d40070d62e7bf53ed7607c83e35334390fcd7f1d3f1e3
commerce	public	provider_capability_head	1	24576	2f9ab956cf228c87599d3076de0b54be42a5027d8d13ba97024f5fe5a8eb98d3
commerce	public	provider_switch_entries	66	32768	29962da64f65bd6ad432858f49c94d32ff84d2c92f8cbfc6e6d3ca85aa2a0df2
commerce	public	provider_switch_head	1	24576	c27c27ff9d0320f1927f1d4102acfea3ba5ddece514cd6e5a64b9e03b9d3b2c4
commerce	public	service_account_inventory_v2	23	49152	f233f0a670393179927057ae14716ccd0b719f02b96bde4823d471f9e377de4a
commerce	public	account_policy_bindings	177	409600	9b24ed5b2c4710db677b8609e3aacb418d44cb884a51dee73e15989aabeda44f
commerce	public	pricing_policy_documents_v2	133	180224	5a4471011ac9cd5064ab95cf8236390460f553ce6aa83bc991c00e0090c87d91
commerce	public	pricing_shadow_rollouts_v2	52	172032	b4644e25fac819886107d5c35dec43f13e2940ad732336ea4f571b4466404615
commerce	public	pricing_stage8_capture_jobs_v2	22	98304	9b7dd1a194b3b91a49f00863aaa70b4e535e44e18f0b65f2a44e74440ea3ec72
commerce	public	pricing_stage8_evidence_v2	22	81920	b2baa1bc9013afe0bdfabeecc8243ee4e9fdca54a7f7cadf1d90f550c9bf0fb7
commerce	public	pricing_usage_attributions	30044	42901504	72cd547586090d8db73b849ebf25d299714dbcf455ddebc5758b20cc59e80e10
commerce	public	product_catalog_entries	161	98304	1a33c92fd61a57334c2b2ec541560596d345a02d9a34321c2b8eea8a6b5fa818
commerce	public	account_policy_versions	656	794624	9b729141909dd6e807bfd230d6101e5caced6d7f97c72e8fd081243327061564
commerce	public	pricing_release_plans_v2	56	122880	b4d739640da586444c448fe251d22c8e0e661e3b583b6abb0223ecb49bb0be97
commerce	public	pricing_stage5_runs_v2	28	6676480	73dc0d85042a9b97cdca214de28f8bae662a3116ebc060de48fd6d9dc90e2cde
commerce	public	provider_capability_entries	98	73728	1c9ab22eb5fe3306b7a8743fe68a23b6acb96ac843edbc22f73cd167da9962fc
commerce	public	pricing_policy_versions	65	188416	31c732106d852c6cf490cc61f6bf8c8599695bb2e5038692cd5c035941d966d6
commerce	public	provider_switch_versions	5	65536	79b34aa893eacb317ef72c3b7e8bd255a1607d79f379b3cf13ded24cbcb379ed
commerce	public	pricing_policies	14	81920	14dd284c59cf343c4d0b216f10a4684b670c5d0be27d13ce6209c14f86b8f472
commerce	public	product_catalog_versions	10	81920	2dc005d5e6794ca6129a592b0803d1241b85ba12ad0dee5123cc0bccb4fa0fd3
commerce	public	provider_capability_versions	5	49152	ed24e70b11980c1b64c781ae9b0bbd9ebd708c4fd56fffe7df47c3588fe7bef2
